,SRA,CI,Jaccard,DICE,simulation_area_km2,centroid_distance_km
origin_east_km,0.07824051862383528,0.0035403540354035402,0.05873739808943854,0.05873739808943854,0.09238523852385239,-0.014425442544254425
origin_north_km,-0.2785645708328297,0.17954995499549956,-0.24139462357435176,-0.24139462357435176,-0.3266126612661266,0.16892889288928892
origin_distance_km,-0.7300288059232098,0.6838163816381638,-0.7442510815129084,-0.7442510815129084,0.007428742874287428,0.7014221422142214
