metric,n,mean,standard_deviation,standard_error,mean_ci95_low,mean_ci95_high,median,q025,q975
SRA,100,0.5541503171404348,0.2877516812812867,0.02877516812812867,0.49775098760930264,0.610549646671567,0.6370688354860705,0.0,0.929645684629916
CI,100,0.3394835537986785,0.2500133029379243,0.02500133029379243,0.29048094642284533,0.3884861611745117,0.3037656817921186,0.029632319301491256,0.8629302786835741
Jaccard,100,0.4095521312142094,0.25870395383272926,0.025870395383272925,0.3588461562629945,0.46025810616542434,0.42736199776644584,0.0,0.8688073994284982
DICE,100,0.530951844126581,0.2801674238592496,0.02801674238592496,0.4760390290501681,0.5858646592029939,0.5988097877394263,0.0,0.9297922079306383
simulation_area_km2,100,70.41338858489131,12.261079028693981,1.2261079028693982,68.0102170952673,72.81656007451532,69.29085885470872,49.88287580684495,94.8576167639001
centroid_distance_km,100,6.482859309902327,4.45119268550905,0.445119268550905,5.610425543542553,7.355293076262101,5.673348341504809,0.5878246401868181,16.051108091000355
